diagnostic_category,diagnosis_icd10_code,diagnosis,dsm_symptom_criteria,symptom_id,symptom_segment,zcode_hrsn,symp_prob
Anxiety Disorders,F40.0,Agoraphobia,Fear of Losing Control in Public,F40.0.025,Fear of Losing Control,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Excessive Sweating in Crowded Areas,F40.0.026,Excessive Sweating,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Rapid Breathing in Public Spaces,F40.0.027,Rapid Breathing,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Avoidance of Shopping Malls,F40.0.028,Avoidance of Malls,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Fear of Being Alone in Public,F40.0.029,Fear of Being Alone,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Tingling Sensations in Public,F40.0.030,Tingling Sensations,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Fear of Getting Lost in Public,F40.0.031,Fear of Getting Lost,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Feeling Dizzy in Enclosed Spaces,F40.0.032,Feeling Dizzy,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Heart Palpitations When Outside,F40.0.033,Heart Palpitations,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Weakness in Legs When Walking,F40.0.034,Weakness in Legs,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Lightheadedness in Public,F40.0.035,Lightheadedness,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Difficulty Standing in Crowded Areas,F40.0.036,Difficulty Standing,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Fear of Open Air Markets,F40.0.037,Fear of Open Air Markets,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Feeling Out of Breath When in Crowds,F40.0.038,Out of Breath,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Panic in Confined Areas,F40.0.039,Panic in Confined Areas,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Fear of Being Watched in Public,F40.0.040,Fear of Being Watched,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Fear of Being in an Airplane,F40.0.041,Fear of Airplanes,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Fear of Being on a Boat,F40.0.042,Fear of Boats,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Panic When Driving on Highways,F40.0.043,Panic on Highways,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Fear of Using Elevators,F40.0.044,Fear of Elevators,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Panic When Using Public Transport,F40.0.045,Panic on Public Transport,No,Symptom
Anxiety Disorders,F40.0,Agoraphobia,Fear of Crossing Bridges,F40.0.046,Fear of Bridges,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Excessive Distress When Separated,F93.0.001,Excessive Distress,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Worry About Losing Attachment Figure,F93.0.002,Worry About Loss,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Worry About Harm to Attachment Figure,F93.0.003,Worry About Harm,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Refusal to Go Out Due to Separation,F93.0.004,Refusal to Go Out,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Fear of Being Alone,F93.0.005,Fear of Being Alone,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Refusal to Sleep Away from Home,F93.0.006,Refusal to Sleep Away,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Nightmares About Separation,F93.0.007,Nightmares About Separation,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Physical Symptoms When Separation Anticipated,F93.0.008,Physical Symptoms,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Headaches When Away from Home,F93.0.009,Headaches,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Stomachaches Due to Separation,F93.0.010,Stomachaches,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Nausea Due to Separation,F93.0.011,Nausea,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Dizziness When Away from Caregiver,F93.0.012,Dizziness,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Difficulty Breathing When Separated,F93.0.013,Difficulty Breathing,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Fear of Sleeping Without Attachment Figure,F93.0.014,Fear of Sleeping Without Attachment,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Refusal to Attend School,F93.0.015,Refusal to Attend School,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Excessive Clinging to Caregiver,F93.0.016,Excessive Clinging,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Sweating When Separated from Attachment,F93.0.017,Sweating When Separated,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Panic Attacks When Separated,F93.0.018,Panic Attacks When Separated,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Muscle Tension Due to Separation,F93.0.019,Muscle Tension,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Trembling When Away from Caregiver,F93.0.020,Trembling,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Crying Due to Separation,F93.0.021,Crying Due to Separation,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Refusal to Play Away from Home,F93.0.022,Refusal to Play Away from Home,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Refusal to Visit Relatives,F93.0.023,Refusal to Visit Relatives,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Vomiting When Separated,F93.0.024,Vomiting,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Fear of Getting Lost When Separated,F93.0.025,Fear of Getting Lost,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Sweating When Caregiver Is Not Present,F93.0.026,Sweating Without Caregiver,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Difficulty Concentrating Without Caregiver,F93.0.027,Difficulty Concentrating,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Chest Pain Due to Separation,F93.0.028,Chest Pain,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Shortness of Breath Due to Separation,F93.0.029,Shortness of Breath,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Fear of Harm to Self When Separated,F93.0.030,Fear of Harm to Self,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Avoidance of Social Events Due to Separation,F93.0.031,Avoidance of Social Events,No,Symptom
Anxiety Disorders,F93.0,Separation Anxiety Disorder,Refusal to Stay with Relatives,F93.0.032,Refusal to Stay with Relatives,No,Symptom
Anxiety Disorders,F40.1,Social Anxiety Disorder,Fear of Being Embarrassed in Public,F40.1.001,Fear of Embarrassment in Public,No,Symptom
Anxiety Disorders,F40.1,Social Anxiety Disorder,Fear of Speaking in Public,F40.1.002,Fear of Speaking in Public,No,Symptom
Anxiety Disorders,F40.1,Social Anxiety Disorder,Avoidance of Eye Contact,F40.1.003,Avoidance of Eye Contact,No,Symptom
Anxiety Disorders,F40.1,Social Anxiety Disorder,Fear of Being Judged by Others,F40.1.004,Fear of Being Judged,No,Symptom
Anxiety Disorders,F40.1,Social Anxiety Disorder,Avoidance of Social Gatherings,F40.1.005,Avoidance of Social Gatherings,No,Symptom
Anxiety Disorders,F40.1,Social Anxiety Disorder,Worry About Negative Evaluation,F40.1.006,Worry About Negative Evaluation,No,Symptom
Anxiety Disorders,F40.1,Social Anxiety Disorder,Fear of Eating in Public,F40.1.007,Fear of Eating in Public,No,Symptom
Anxiety Disorders,F40.1,Social Anxiety Disorder,Sweating When Speaking to Strangers,F40.1.008,Sweating When Speaking to Strangers,No,Symptom
Anxiety Disorders,F40.1,Social Anxiety Disorder,Nausea When Speaking to Large Groups,F40.1.009,Nausea When Speaking to Groups,No,Symptom
Anxiety Disorders,F40.1,Social Anxiety Disorder,Panic Attacks Before Social Events,F40.1.010,Panic Attacks Before Events,No,Symptom
Anxiety Disorders,F40.1,Social Anxiety Disorder,Blushing When Socializing,F40.1.011,Blushing While Socializing,No,Symptom
Anxiety Disorders,F40.1,Social Anxiety Disorder,Muscle Tension in Social Settings,F40.1.012,Muscle Tension in Social Settings,No,Symptom
Anxiety Disorders,F40.1,Social Anxiety Disorder,Dizziness in Large Groups,F40.1.013,Dizziness in Large Groups,No,Symptom
Anxiety Disorders,F40.1,Social Anxiety Disorder,Shortness of Breath During Social Events,F40.1.014,Shortness of Breath at Events,No,Symptom
Anxiety Disorders,F40.1,Social Anxiety Disorder,Trembling When Speaking to Authority,F40.1.015,Trembling When Speaking to Authority,No,Symptom
Anxiety Disorders,F40.1,Social Anxiety Disorder,Heart Palpitations When Meeting New People,F40.1.016,Heart Palpitations,No,Symptom
Anxiety Disorders,F40.1,Social Anxiety Disorder,Avoidance of Crowded Places,F40.1.017,Avoidance of Crowded Places,No,Symptom
Anxiety Disorders,F40.1,Social Anxiety Disorder,Dry Mouth When Speaking to Large Groups,F40.1.018,Dry Mouth When Speaking to Groups,No,Symptom
Anxiety Disorders,F40.1,Social Anxiety Disorder,Inability to Relax in Social Settings,F40.1.019,Inability to Relax in Social Settings,No,Symptom
Anxiety Disorders,F40.1,Social Anxiety Disorder,Fear of Using Public Restrooms,F40.1.020,Fear of Using Public Restrooms,No,Symptom
Anxiety Disorders,F40.1,Social Anxiety Disorder,Avoidance of Group Discussions,F40.1.021,Avoidance of Group Discussions,No,Symptom
Anxiety Disorders,F40.1,Social Anxiety Disorder,Excessive Worry About Social Interactions,F40.1.022,Excessive Worry About Social Interactions,No,Symptom
Anxiety Disorders,F40.1,Social Anxiety Disorder,Feeling of Inadequacy During Social Events,F40.1.023,Feeling of Inadequacy,No,Symptom
Anxiety Disorders,F40.1,Social Anxiety Disorder,Fatigue After Social Interactions,F40.1.024,Fatigue After Social Interactions,No,Symptom
Anxiety Disorders,F40.1,Social Anxiety Disorder,Fear of Being the Center of Attention,F40.1.025,Fear of Being Center of Attention,No,Symptom
Anxiety Disorders,F40.1,Social Anxiety Disorder,Avoidance of Meeting New People,F40.1.026,Avoidance of Meeting New People,No,Symptom
Anxiety Disorders,F40.2,Specific Phobia,Fear of Heights,F40.2.001,Fear of Heights,No,Symptom
Anxiety Disorders,F40.2,Specific Phobia,Fear of Flying,F40.2.002,Fear of Flying,No,Symptom
Anxiety Disorders,F40.2,Specific Phobia,Avoidance of Enclosed Spaces,F40.2.003,Avoidance of Enclosed Spaces,No,Symptom
Anxiety Disorders,F40.2,Specific Phobia,Fear of Spiders,F40.2.004,Fear of Spiders,No,Symptom
Anxiety Disorders,F40.2,Specific Phobia,Trembling When Exposed to Phobic Object,F40.2.005,Trembling When Exposed to Phobia,No,Symptom
Anxiety Disorders,F40.2,Specific Phobia,Sweating When Confronted with Phobia,F40.2.006,Sweating When Confronted,No,Symptom
Anxiety Disorders,F40.2,Specific Phobia,Panic Attacks Triggered by Phobic Object,F40.2.007,Panic Attacks from Phobia,No,Symptom
Anxiety Disorders,F40.2,Specific Phobia,Dizziness in Phobic Situations,F40.2.008,Dizziness in Phobic Situations,No,Symptom
Anxiety Disorders,F40.2,Specific Phobia,Shortness of Breath Around Phobic Objects,F40.2.009,Shortness of Breath,No,Symptom
Anxiety Disorders,F40.2,Specific Phobia,Heart Palpitations Due to Phobia,F40.2.010,Heart Palpitations,No,Symptom
Anxiety Disorders,F40.2,Specific Phobia,Muscle Tension When Exposed to Phobia,F40.2.011,Muscle Tension from Phobia,No,Symptom
Anxiety Disorders,F40.2,Specific Phobia,Fear of Snakes,F40.2.012,Fear of Snakes,No,Symptom
Anxiety Disorders,F40.2,Specific Phobia,Avoidance of Animals Due to Phobia,F40.2.013,Avoidance of Animals,No,Symptom
Anxiety Disorders,F40.2,Specific Phobia,Fear of Blood,F40.2.014,Fear of Blood,No,Symptom
Anxiety Disorders,F40.2,Specific Phobia,Fear of Injections,F40.2.015,Fear of Injections,No,Symptom
Anxiety Disorders,F40.2,Specific Phobia,Fear of Water,F40.2.016,Fear of Water,No,Symptom
Anxiety Disorders,F40.2,Specific Phobia,Avoidance of Driving Due to Phobia,F40.2.017,Avoidance of Driving,No,Symptom
Anxiety Disorders,F40.2,Specific Phobia,Nausea When Facing Phobic Situations,F40.2.018,Nausea from Phobic Situations,No,Symptom
Anxiety Disorders,F40.2,Specific Phobia,Fear of Elevators,F40.2.019,Fear of Elevators,No,Symptom
Anxiety Disorders,F06.4,Anxiety Disorder Due to Another Medical Condition,Panic Attacks in Response to Medical Condition,F06.4.001,Panic Attacks in Response to Medical Condition,No,Symptom
Anxiety Disorders,F06.4,Anxiety Disorder Due to Another Medical Condition,Persistent Worry About Medical Condition,F06.4.002,Persistent Worry About Medical Condition,No,Symptom
Anxiety Disorders,F06.4,Anxiety Disorder Due to Another Medical Condition,Physical Symptoms of Anxiety Triggered by Medical Condition,F06.4.003,Physical Symptoms of Anxiety Triggered by Medical Condition,No,Symptom
Anxiety Disorders,F06.4,Anxiety Disorder Due to Another Medical Condition,Difficulty Concentrating Due to Medical Condition,F06.4.004,Difficulty Concentrating,No,Symptom
Anxiety Disorders,F06.4,Anxiety Disorder Due to Another Medical Condition,Restlessness Related to Medical Condition,F06.4.005,Restlessness Related to Medical Condition,No,Symptom
Anxiety Disorders,F94.0,Selective Mutism,Refusal to Speak in Specific Situations,F94.0.001,Refusal to Speak in Specific Situations,No,Symptom
Anxiety Disorders,F94.0,Selective Mutism,Lack of Speech Despite Ability,F94.0.002,Lack of Speech Despite Ability,No,Symptom
Anxiety Disorders,F94.0,Selective Mutism,Normal Speech in Other Settings,F94.0.003,Normal Speech in Other Settings,No,Symptom
Anxiety Disorders,F94.0,Selective Mutism,Persistent Failure to Speak in School,F94.0.004,Failure to Speak in School,No,Symptom
Anxiety Disorders,F94.0,Selective Mutism,Interference with Social Communication,F94.0.005,Interference with Social Communication,No,Symptom
Anxiety Disorders,F15.9,Substance/Medication-Induced Anxiety Disorder,Anxiety Triggered by Substance Use,F15.9.001,Anxiety Triggered by Substance Use,No,Symptom
Anxiety Disorders,F15.9,Substance/Medication-Induced Anxiety Disorder,Panic Attacks During Withdrawal,F15.9.002,Panic Attacks During Withdrawal,No,Symptom
Anxiety Disorders,F15.9,Substance/Medication-Induced Anxiety Disorder,Physical Symptoms of Anxiety from Medication,F15.9.003,Physical Symptoms of Anxiety from Medication,No,Symptom
Anxiety Disorders,F15.9,Substance/Medication-Induced Anxiety Disorder,Restlessness Related to Substance Use,F15.9.004,Restlessness Related to Substance Use,No,Symptom
Anxiety Disorders,F15.9,Substance/Medication-Induced Anxiety Disorder,Persistent Worry After Using Substance,F15.9.005,Persistent Worry After Using Substance,No,Symptom
Bipolar and Related Disorders,F31.1,Bipolar I Disorder,Elevated Mood,F31.1.001,Elevated Mood,No,Symptom
Bipolar and Related Disorders,F31.1,Bipolar I Disorder,Decreased Need for Sleep,F31.1.002,Decreased Need for Sleep,No,Symptom
Bipolar and Related Disorders,F31.1,Bipolar I Disorder,Inflated Self-Esteem,F31.1.003,Inflated Self-Esteem,No,Symptom
Bipolar and Related Disorders,F31.1,Bipolar I Disorder,Increased Talkativeness,F31.1.004,Increased Talkativeness,No,Symptom
Bipolar and Related Disorders,F31.1,Bipolar I Disorder,Racing Thoughts,F31.1.005,Racing Thoughts,No,Symptom
Bipolar and Related Disorders,F31.1,Bipolar I Disorder,Distractibility,F31.1.006,Distractibility,No,Symptom
Bipolar and Related Disorders,F31.1,Bipolar I Disorder,Increase in Goal-Directed Activity,F31.1.007,Increase in Goal-Directed Activity,No,Symptom
Bipolar and Related Disorders,F31.1,Bipolar I Disorder,Engagement in Risky Activities,F31.1.008,Engagement in Risky Activities,No,Symptom
Bipolar and Related Disorders,F31.1,Bipolar I Disorder,Depressed Mood,F31.1.009,Depressed Mood,No,Symptom
Bipolar and Related Disorders,F31.1,Bipolar I Disorder,Fatigue or Loss of Energy,F31.1.010,Fatigue or Loss of Energy,No,Symptom
Bipolar and Related Disorders,F31.1,Bipolar I Disorder,Feelings of Worthlessness,F31.1.011,Feelings of Worthlessness,No,Symptom
Bipolar and Related Disorders,F31.1,Bipolar I Disorder,Diminished Ability to Concentrate,F31.1.012,Diminished Ability to Concentrate,No,Symptom
Bipolar and Related Disorders,F31.1,Bipolar I Disorder,Recurrent Thoughts of Death,F31.1.013,Recurrent Thoughts of Death,No,Symptom
Bipolar and Related Disorders,F31.2,Bipolar II Disorder,Hypomanic Episode,F31.2.014,Hypomanic Episode,No,Symptom
Bipolar and Related Disorders,F31.2,Bipolar II Disorder,Major Depressive Episode,F31.2.015,Major Depressive Episode,No,Symptom
Bipolar and Related Disorders,F31.2,Bipolar II Disorder,Increased Energy,F31.2.016,Increased Energy,No,Symptom
Bipolar and Related Disorders,F31.2,Bipolar II Disorder,Irritability,F31.2.017,Irritability,No,Symptom
Bipolar and Related Disorders,F31.2,Bipolar II Disorder,Pressured Speech,F31.2.018,Pressured Speech,No,Symptom
Bipolar and Related Disorders,F31.2,Bipolar II Disorder,Decreased Need for Sleep,F31.2.019,Decreased Need for Sleep,No,Symptom
Bipolar and Related Disorders,F31.2,Bipolar II Disorder,Distractibility,F31.2.020,Distractibility,No,Symptom
Bipolar and Related Disorders,F31.2,Bipolar II Disorder,Flight of Ideas,F31.2.021,Flight of Ideas,No,Symptom
Bipolar and Related Disorders,F31.2,Bipolar II Disorder,Increased Goal-Directed Activity,F31.2.022,Increased Goal-Directed Activity,No,Symptom
Bipolar and Related Disorders,F31.2,Bipolar II Disorder,Excessive Involvement in Pleasurable Activities,F31.2.023,Excessive Involvement in Pleasurable Activities,No,Symptom
Bipolar and Related Disorders,F31.2,Bipolar II Disorder,Depressive Symptoms,F31.2.024,Depressive Symptoms,No,Symptom
Bipolar and Related Disorders,F31.2,Bipolar II Disorder,Loss of Interest in Activities,F31.2.025,Loss of Interest in Activities,No,Symptom
Bipolar and Related Disorders,F31.2,Bipolar II Disorder,Sleep Disturbances,F31.2.026,Sleep Disturbances,No,Symptom
Bipolar and Related Disorders,F31.2,Bipolar II Disorder,Weight Gain or Loss,F31.2.027,Weight Gain or Loss,No,Symptom
Bipolar and Related Disorders,F31.2,Bipolar II Disorder,Feelings of Guilt,F31.2.028,Feelings of Guilt,No,Symptom
Bipolar and Related Disorders,F31.2,Bipolar II Disorder,Difficulty Making Decisions,F31.2.029,Difficulty Making Decisions,No,Symptom
Bipolar and Related Disorders,F31.2,Bipolar II Disorder,Psychomotor Agitation,F31.2.030,Psychomotor Agitation,No,Symptom
Bipolar and Related Disorders,F31.2,Bipolar II Disorder,Low Energy,F31.2.031,Low Energy,No,Symptom
Bipolar and Related Disorders,F31.3,Cyclothymic Disorder,Chronic Mood Fluctuations,F31.3.032,Chronic Mood Fluctuations,No,Symptom
Bipolar and Related Disorders,F31.3,Cyclothymic Disorder,Episodes of Hypomania,F31.3.033,Episodes of Hypomania,No,Symptom
Bipolar and Related Disorders,F31.3,Cyclothymic Disorder,Periods of Depression,F31.3.034,Periods of Depression,No,Symptom
Bipolar and Related Disorders,F31.3,Cyclothymic Disorder,Shifts in Mood Over Time,F31.3.035,Shifts in Mood Over Time,No,Symptom
Bipolar and Related Disorders,F31.3,Cyclothymic Disorder,Irritability,F31.3.036,Irritability,No,Symptom
Bipolar and Related Disorders,F31.3,Cyclothymic Disorder,Decreased Need for Sleep,F31.3.037,Decreased Need for Sleep,No,Symptom
Bipolar and Related Disorders,F31.3,Cyclothymic Disorder,Increased Energy,F31.3.038,Increased Energy,No,Symptom
Bipolar and Related Disorders,F31.3,Cyclothymic Disorder,Racing Thoughts,F31.3.039,Racing Thoughts,No,Symptom
Bipolar and Related Disorders,F31.3,Cyclothymic Disorder,Increased Risk-Taking,F31.3.040,Increased Risk-Taking,No,Symptom
Bipolar and Related Disorders,F31.3,Cyclothymic Disorder,Chronic Mood Fluctuations,F31.3.032,Chronic Mood Fluctuations,No,Symptom
Bipolar and Related Disorders,F31.3,Cyclothymic Disorder,Episodes of Hypomania,F31.3.033,Episodes of Hypomania,No,Symptom
Bipolar and Related Disorders,F31.3,Cyclothymic Disorder,Periods of Depression,F31.3.034,Periods of Depression,No,Symptom
